direct_tv,indirect_tv,status
0.6,0.7320448756217957,0
0.8,0.9740095734596252,0
0.8,0.8814327120780945,1
1.0,0.9858591556549072,0
0.4,0.42991769313812256,1
0.8,0.9591498970985413,0
0.6,0.8735451698303223,0
1.0,0.9487164616584778,0
0.4,0.5811305046081543,1
0.8,0.9848934710025787,0
1.0,0.989331841468811,0
0.4,0.45625054836273193,0
0.6,0.9404646754264832,1
1.0,0.9934074580669403,0
0.6,0.8831165730953217,0
0.6,0.5591299831867218,0
0.6,0.8208888173103333,0
0.8,0.9084124565124512,1
1.0,0.9819062054157257,0
0.4,0.6068658232688904,1
0.8,0.9254336357116699,0
0.8,0.9470625817775726,0
1.0,0.9900197088718414,0
0.8,0.9708386659622192,0
1.0,0.9895947873592377,0
0.8,0.8922189176082611,0
0.4,0.3325408697128296,1
0.8,0.9744583070278168,0
1.0,0.9895947873592377,0
1.0,0.9795134365558624,0
1.0,0.9934074580669403,0
0.8,0.9785490036010742,0
0.8,0.97032830119133,0
0.4,0.17612558603286743,0
0.8,0.9861104190349579,0
0.8,0.9708386659622192,0
0.6,0.8831165730953217,0
1.0,0.9721207916736603,0
1.0,0.971632182598114,0
0.6,0.7091805934906006,0
0.8,0.9861104190349579,0
0.4,0.5811305046081543,0
0.6,0.5925154089927673,1
1.0,0.9891415238380432,0
1.0,0.9875838458538055,0
0.6,0.9692016839981079,0
0.4,0.32874858379364014,0
0.8,0.9861104190349579,0
1.0,0.9901947975158691,0
1.0,0.9900197088718414,0
0.6,0.5297032296657562,1
0.8,0.9776253998279572,0
0.6,0.932658851146698,0
1.0,0.9878011047840118,0
1.0,0.9934074580669403,0
0.8,0.9722491502761841,0
0.8,0.9858634769916534,0
0.8,0.9740095734596252,0
0.6,0.8301938474178314,0
0.4,0.6068658232688904,0
0.6,0.9692016839981079,0
0.8,0.9484312236309052,0
0.8,0.9781704843044281,0
0.8,0.9675303101539612,0
0.6,0.8041877746582031,0
